Path,CallCountPerSecond,CallsPer1CpuPercent
net472-TcpAsync,28506,1239
net472-Tcp,36743,1837
net472-MemorySharingMutex,48278,3714
net472-MemorySharing,4401412,133376
net472-PipeAsync,47097,529
net472-Pipe,1557,111
net472-UdpAsync,27861,929
net472-Udp,65769,2055
net5.0-TcpAsync,38744,1685
net5.0-Tcp,40645,1935
net5.0-MemorySharingMutex,59186,4228
net5.0-MemorySharing,28398937,860574
net5.0-PipeAsync,45265,905
net5.0-Pipe,1639,137
net5.0-UdpAsync,54871,1715
net5.0-Udp,64147,2069
netcoreapp3.1-TcpAsync,37664,1638
netcoreapp3.1-Tcp,40339,1921
netcoreapp3.1-MemorySharingMutex,57247,4089
netcoreapp3.1-MemorySharing,25468804,771782
netcoreapp3.1-PipeAsync,44495,872
netcoreapp3.1-Pipe,1654,138
netcoreapp3.1-UdpAsync,55014,1667
netcoreapp3.1-Udp,63641,1989
