CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
116670,46,45,91
1634.9583683117594,2.0183827394062672,2.3621098497834154,1.6159409038132562
112344,41,42,86
120847,49,51,95
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
118419,46,45,91
1683.5957684680639,1.9296650651793101,1.9256733661771557,1.6504287475637531
112736,41,41,87
122146,50,49,94
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
47097,47,43,89
223.39667518666604,1.1792292896004244,1.2248076965408463,1.30486694609032
46575,44,39,86
47475,50,45,92
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
116670,46,45,91
1634.9583683117594,2.0183827394062672,2.3621098497834154,1.6159409038132562
112344,41,42,86
120847,49,51,95
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
118419,46,45,91
1683.5957684680639,1.9296650651793101,1.9256733661771557,1.6504287475637531
112736,41,41,87
122146,50,49,94
CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
47097,47,43,89
223.39667518666604,1.1792292896004244,1.2248076965408463,1.30486694609032
46575,44,39,86
47475,50,45,92
