Path,CallCountPerSecond,CallsPer1CpuPercent
net472-TcpAsync,41716,1669
net472-Tcp,146438,5424
net472-MemorySharingMutex,49631,3818
net472-MemorySharing,4315244,130765
net472-PipeAsync,118419,1301
net472-Pipe,93847,7219
net472-UdpAsync,37403,1336
net472-Udp,136938,5072
net5.0-TcpAsync,123540,3985
net5.0-Tcp,145126,5375
net5.0-MemorySharingMutex,57484,4790
net5.0-MemorySharing,28390750,860326
net5.0-PipeAsync,97489,1234
net5.0-Pipe,96496,8041
net5.0-UdpAsync,114440,3692
net5.0-Udp,131806,4882
netcoreapp3.1-TcpAsync,121542,3921
netcoreapp3.1-Tcp,147513,5901
netcoreapp3.1-MemorySharingMutex,56395,4700
netcoreapp3.1-MemorySharing,25450327,771222
netcoreapp3.1-PipeAsync,87631,1252
netcoreapp3.1-Pipe,98484,8207
netcoreapp3.1-UdpAsync,110226,3556
netcoreapp3.1-Udp,129939,4998
