CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
29274,8,17,25
29138,7,17,25
29262,5,17,22
29311,7,19,26
29411,5,17,22
29331,6,17,23
29222,4,17,22
28906,7,17,24
28833,7,18,25
29141,5,17,22
28821,5,17,22
28781,7,18,25
28675,6,17,23
28271,6,17,23
28362,5,18,23
28366,7,17,24
28440,6,16,23
28255,6,17,24
28423,5,17,23
28300,8,17,25
28344,6,17,23
28448,6,17,24
28610,4,17,22
28551,6,18,23
28489,5,18,23
28678,5,17,22
28652,6,17,23
28533,6,18,24
28479,6,17,24
28514,6,17,23
28553,5,16,21
28563,6,17,22
28595,7,18,25
28575,6,16,22
28573,7,18,25
28600,6,17,24
28179,4,17,22
28343,4,17,21
28059,7,17,24
27999,6,17,24
27827,6,18,23
28045,6,17,24
27975,5,18,23
28008,7,17,24
28216,5,17,22
28028,8,17,25
28033,5,17,22
27997,8,17,25
28211,7,17,24
28157,5,16,21
28145,7,16,23
28359,6,17,23
28274,6,17,22
28449,6,19,25
28451,5,17,22
28470,6,17,24
28334,7,17,24
28506,6,17,23
385.58588007618664,1.0172413343385418,0.6152869444473746,1.213446769529163
27827,4,16,21
29411,8,19,26
