CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
35054,17,4,21
34879,17,5,21
34941,17,3,19
35577,17,5,22
35870,17,4,21
35641,17,2,19
36236,17,5,22
36305,17,4,21
36235,17,5,21
36892,17,1,18
36955,17,4,21
37048,17,5,22
37286,17,4,21
37286,17,5,22
37155,17,6,23
37655,17,4,20
38143,17,4,21
38048,17,4,21
38993,17,4,21
38993,17,4,21
39228,17,3,20
39220,17,4,21
38705,17,5,22
40393,17,4,21
40039,17,4,20
38691,17,5,21
36017,17,5,22
36760,17,3,20
35885,17,2,19
36716,17,3,20
37155,17,2,19
37110,17,3,19
37110,17,3,20
36279,17,3,20
36279,17,4,21
36234,17,3,20
36586,17,4,20
36629,17,3,20
35317,17,5,21
33390,17,3,20
33346,17,3,20
34048,17,4,21
34747,17,2,19
34747,17,4,21
34791,17,3,20
35973,17,5,21
36935,17,3,20
36979,17,5,21
37242,17,4,20
37285,17,4,21
37330,17,3,20
37504,17,4,20
37548,17,4,20
36060,17,3,20
36996,17,3,20
36918,17,3,20
36979,17,3,20
36743,17,4,20
1468.9916309560858,0,0.9827693736253269,0.9388833796673447
33346,17,1,18
40393,17,6,23
