CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
49997,8,7,15
45138,6,6,12
48760,5,7,12
48711,6,8,14
51909,6,6,12
51992,6,8,14
51072,6,7,13
50456,9,4,14
47511,7,7,14
47751,7,6,13
49349,7,6,14
49264,7,6,13
47428,6,7,13
50715,6,6,12
48058,7,6,13
45593,6,7,12
48596,7,7,14
50805,6,6,12
52789,8,7,14
51526,7,6,13
49495,6,7,13
48656,7,6,13
52355,6,6,12
47146,8,5,14
48975,6,6,12
46908,8,6,14
50119,6,7,13
49440,8,6,14
48487,6,7,12
49515,7,6,13
48347,6,7,13
49518,7,6,14
50469,7,7,14
51543,6,6,12
48033,7,6,13
46859,6,6,12
45270,7,7,14
47822,6,5,12
52296,7,7,14
45643,6,6,13
47603,5,5,11
48944,7,5,11
52203,5,6,11
50995,8,5,13
47533,6,6,12
52963,4,6,11
48350,7,7,13
49064,6,6,12
52807,7,7,14
55877,6,8,14
55234,4,7,12
50941,7,6,13
50905,4,9,13
55319,6,7,13
51125,5,7,12
52951,5,7,13
51433,7,6,13
49799,6,6,13
2412.2143535373284,1.0235755891799874,0.8555217782622181,0.9493157374363989
45138,4,4,11
55877,9,9,15
