CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
4304224,17,17,34
4307834,17,17,33
4306116,17,17,33
4317333,17,17,33
4317218,17,17,33
4317686,17,17,33
4317368,17,17,33
4317805,17,17,33
4316548,17,17,33
4317343,17,17,33
4317664,17,17,33
4318858,17,17,33
4318722,17,17,33
4315307,17,17,33
4317960,17,17,33
4317139,17,17,33
4317650,17,17,33
4317045,17,17,33
4317189,17,17,33
4317495,17,17,33
4318604,17,17,33
4316151,17,17,33
4319021,17,17,33
4317649,17,17,33
4266548,17,17,33
4319456,16,16,33
4316890,17,17,33
4316267,17,17,33
4316762,17,17,33
4307945,17,17,33
4318776,17,17,33
4318482,17,17,33
4316580,17,17,33
4319441,17,17,33
4318516,17,17,33
4318769,17,17,33
4315436,17,17,33
4318943,17,17,33
4317620,17,17,33
4317227,17,17,33
4317464,17,17,33
4319963,17,17,33
4313820,17,17,33
4319997,17,17,33
4317057,17,17,33
4319215,17,17,33
4318708,17,17,33
4318304,17,17,33
4317620,17,17,33
4319731,17,17,33
4317308,17,17,33
4319794,17,17,33
4317751,17,17,33
4318152,17,17,33
4271165,17,17,33
4315916,17,17,33
4317365,17,17,33
4315244,17,17,33
9390.075170727408,0.13128622409733123,0.13128622409733123,0.1312862240973312
4266548,16,16,33
4319997,17,17,34
