CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
120708,46,43,88
120924,44,45,89
118951,46,44,89
119234,47,42,89
119383,47,43,90
119564,44,49,93
120199,43,44,87
119046,44,47,90
121534,45,44,88
118828,49,44,93
122146,48,43,91
119149,43,48,91
119402,46,45,91
118522,42,47,89
119018,45,45,90
117405,50,43,93
120483,46,47,93
119945,47,44,91
120309,41,49,91
118685,43,46,89
117941,47,44,91
118309,46,47,93
117450,46,42,88
118738,46,44,90
118626,45,47,92
120279,47,43,90
117639,43,47,90
118453,47,45,92
112736,47,43,90
115632,43,44,87
118686,48,41,89
117740,43,49,92
120871,44,48,93
118100,44,45,88
119189,46,46,91
117510,45,45,90
117129,50,44,94
117934,46,46,92
117644,45,46,92
119055,45,45,89
116883,47,44,92
116534,44,47,91
120226,44,46,90
117710,47,45,92
116974,45,45,91
118985,48,43,92
117033,47,43,91
118385,43,48,91
117630,45,46,92
118498,45,45,90
118384,48,43,91
115539,47,46,93
117159,48,42,90
118515,44,45,89
118486,44,47,92
115617,45,45,89
114224,44,48,92
118419,46,45,91
1683.5957684680639,1.9296650651793101,1.9256733661771557,1.6504287475637531
112736,41,41,87
122146,50,49,94
