CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
94585,6,6,13
94263,8,6,14
95063,5,5,9
93509,7,5,12
92308,6,6,12
91112,6,6,12
88104,6,7,14
96702,7,6,14
95070,6,5,11
96270,7,6,14
92410,6,7,13
91986,8,5,13
96977,6,5,11
95898,5,8,14
91649,5,5,11
102537,5,8,13
91173,7,6,13
91409,6,5,12
92083,7,6,13
89132,6,7,13
101155,8,4,12
93887,5,6,11
92978,7,7,14
92601,7,6,14
98702,7,6,14
95376,7,7,14
97012,6,6,12
93697,8,6,14
89099,6,7,13
92300,6,7,13
96921,7,6,12
95222,5,7,12
89715,8,4,13
89530,7,7,14
95297,5,7,12
92987,5,7,12
92988,7,6,13
89234,7,6,14
93060,7,5,12
90021,8,4,12
97404,6,7,14
97672,5,8,13
103215,5,7,12
95302,5,8,13
93711,6,6,12
90461,6,5,12
91464,6,6,13
92023,7,8,15
94176,5,7,12
96133,5,8,14
94655,6,8,14
96396,7,7,14
93990,6,7,13
91760,7,7,14
89654,5,7,13
90519,7,5,12
96720,5,7,12
93847,6,6,13
3228.6106672799856,0.9647527778854397,1.0590447910727416,1.0992596630049498
88104,5,4,9
103215,8,8,15
