CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
26796,11,16,27
27077,12,17,28
26709,11,17,28
26710,12,16,28
27485,10,17,27
27147,13,17,30
27104,14,17,30
27584,14,17,30
27047,12,17,29
27139,14,17,31
27460,13,16,29
27067,12,17,29
27134,12,17,28
27840,13,16,29
28810,14,17,31
28588,16,17,34
28423,15,16,32
28600,14,18,32
28751,15,17,33
28345,14,17,31
28781,15,17,32
28637,14,17,31
28462,13,17,30
28881,14,17,31
28511,14,17,31
28660,14,17,31
28700,15,17,32
28735,12,17,29
28608,14,17,31
27808,12,17,28
28215,14,17,31
28127,14,17,31
27596,13,16,29
27606,12,16,29
27935,14,17,31
28258,13,17,30
28707,15,17,32
29422,14,17,32
29425,16,18,34
27994,14,17,31
28120,12,17,29
28014,13,17,30
28191,14,16,30
28768,16,17,34
27711,14,17,31
26749,11,17,27
27154,13,17,29
27056,13,16,29
26590,9,18,27
26980,11,16,27
26731,13,17,29
26698,11,16,27
27086,12,17,29
26499,13,17,30
27843,12,16,28
28637,15,17,32
28375,12,17,29
27861,13,17,30
787.4674883731332,1.4763968350855612,0.4880851839734582,1.8208464203970707
26499,9,16,27
29425,16,18,34
