CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
134871,11,16,27
132409,10,17,26
134928,8,17,25
132222,11,17,27
134783,11,17,27
136302,10,17,27
136279,9,17,26
133988,12,17,28
130880,11,17,27
133436,11,17,27
131576,11,17,27
133132,11,16,28
134385,10,17,26
134193,10,17,27
134964,13,17,30
130989,10,17,26
131618,9,17,25
131492,10,17,26
131135,9,17,26
132617,13,17,29
133582,13,17,29
133797,11,17,27
131687,11,17,27
133887,11,17,27
131878,10,17,27
135338,9,17,26
135268,11,17,28
136767,10,17,27
137173,10,17,27
132680,10,17,27
131149,9,17,25
134359,9,17,26
136033,12,17,29
136005,10,17,27
135635,11,17,27
136956,10,17,27
136509,11,17,27
132649,9,17,26
133099,9,17,26
133050,12,17,29
131349,11,17,27
131148,10,17,27
130891,9,17,26
136998,11,17,28
135057,9,17,26
134445,11,17,27
132649,11,17,28
135328,11,17,28
137409,11,17,27
134494,11,17,28
131887,10,17,26
132860,9,17,26
134980,11,17,28
132106,8,17,25
133316,11,17,27
133972,11,17,28
133567,11,17,27
133792,10,17,27
1859.3546299426573,1.1230811068967879,0.18400155231055274,1.0590447910727425
130880,8,16,25
137409,13,17,30
