CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
122063,15,17,32
120171,13,20,33
119388,14,19,33
119469,14,17,31
121081,12,18,30
121062,11,19,29
121117,13,18,32
119584,13,17,31
120255,13,18,31
120704,10,17,27
120302,12,18,29
120461,13,18,31
120948,14,17,31
120289,11,19,31
118354,10,20,29
119062,14,20,34
121914,13,17,30
119704,12,18,30
121173,13,18,31
121433,11,18,29
120123,12,18,30
119159,14,18,32
118713,12,18,31
120184,13,18,31
119352,11,18,29
119029,13,17,30
118261,13,17,30
120418,13,18,31
120110,14,17,31
120819,12,17,28
121663,12,18,29
119684,12,17,29
121270,14,19,33
121287,14,18,33
121291,13,18,31
121236,13,17,30
121803,13,20,33
121020,12,19,31
120981,12,18,29
120751,12,18,29
119008,12,18,30
119400,14,19,32
120990,12,18,30
121904,14,19,33
121310,11,18,28
119530,12,18,31
119885,13,18,31
121503,13,19,32
121762,13,17,30
120004,14,18,31
121353,12,18,31
120607,12,17,29
118911,13,20,33
120666,12,18,31
122325,14,17,31
121651,12,18,30
119395,13,19,32
120454,13,18,31
1007.9221858140647,1.0677280038388035,0.8757883490771001,1.4648860172033755
118261,10,17,27
122325,15,20,34
