CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
40877,17,3,20
39825,17,5,22
41602,17,4,21
41591,17,5,21
41597,17,4,21
41553,17,3,20
41649,17,5,22
41531,17,4,20
41413,17,4,21
40992,17,6,22
40713,16,5,22
37548,17,4,21
38293,17,4,21
41487,17,3,20
38674,17,4,21
38117,17,4,21
39824,17,4,20
41666,17,6,22
38565,17,4,21
40993,17,4,21
41660,17,5,22
41546,17,4,21
39171,17,5,22
41265,17,3,20
41006,17,3,20
41562,17,2,19
40743,17,4,21
41487,17,4,21
41063,17,4,21
38498,17,4,21
38306,17,3,20
38686,17,5,21
40525,17,4,20
40363,17,5,22
39417,17,5,22
39605,17,4,21
40743,17,4,21
40993,17,3,20
41325,17,5,22
38946,17,3,20
40703,17,5,22
41366,17,4,21
40733,17,4,21
40468,17,5,22
41019,17,4,20
41005,17,3,20
41094,17,4,21
41268,17,4,21
41531,17,4,21
41280,17,5,21
41476,17,4,21
41531,17,5,22
41474,17,4,21
41719,17,3,20
41750,17,5,22
41443,17,4,21
41475,17,5,22
40645,17,4,21
1138.3679626307594,0.1312862240973312,0.8043433955331684,0.76068362767294
37548,16,2,19
41750,17,6,22
