CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
52065,5,8,13
50985,6,6,12
53795,5,6,10
56018,5,6,11
53918,4,8,12
52449,5,8,13
61912,5,5,10
55926,5,8,13
58963,7,6,13
55203,6,7,13
57256,6,6,12
57200,4,6,11
59857,4,8,12
58304,6,6,13
64556,5,6,11
60529,7,7,14
57514,6,8,14
54436,5,6,12
61098,6,5,11
55642,7,5,12
58680,6,6,13
55455,5,7,12
59709,5,7,12
57731,4,6,10
56262,5,8,13
56405,6,5,11
59717,6,6,12
56313,6,4,11
54397,5,6,11
60693,4,7,11
53228,5,6,11
61325,6,4,10
59149,6,7,13
55287,6,6,12
55362,4,7,11
53961,4,5,9
56195,5,8,14
57224,5,6,11
58410,6,7,12
55764,5,6,11
65054,7,6,13
60155,7,6,13
56135,5,7,12
55307,5,7,12
54252,5,8,12
58113,5,7,13
57443,6,7,13
58424,6,7,13
57995,5,8,13
53901,6,5,12
65147,6,7,13
58426,6,6,12
58401,5,5,11
56423,4,8,12
58987,6,7,13
63447,7,7,13
60095,5,7,12
57484,5,6,12
3108.2212328563733,0.8573187173944294,1.0450015867954692,1.0922373625455004
50985,4,4,9
65147,7,8,14
