CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
28341449,17,17,33
28085335,16,17,33
28427696,16,16,33
28409010,17,17,33
28432894,17,17,33
28419901,17,17,33
28411665,17,17,33
28401776,17,17,33
28425114,17,17,33
28425950,17,17,33
28394720,17,17,33
28372265,17,17,33
28451686,17,17,33
28381076,17,17,33
28400829,17,17,33
28395838,17,17,33
28380993,17,17,33
28395244,17,17,33
28391232,17,17,33
28381509,17,17,33
28409777,17,17,33
28401742,17,17,33
28411619,17,17,33
28394671,17,17,33
28414807,17,17,33
28393021,17,17,33
28400172,17,17,33
28423355,17,17,33
28416192,17,17,33
28410420,17,17,33
28380836,17,17,33
27990215,17,17,33
28399644,17,17,33
28380358,17,17,33
28393597,17,17,33
28386468,17,17,33
28369377,17,17,33
28405445,17,17,33
28398105,17,17,33
28377191,17,17,33
28373313,17,17,33
28403827,17,17,33
28423109,17,17,33
28392288,17,17,33
28441779,17,17,33
28409331,17,17,33
28413014,17,17,33
28396541,17,17,33
28385223,17,17,33
28393412,17,17,33
28402797,17,17,33
28390569,17,17,33
28387331,17,17,33
28412381,17,17,33
28404141,17,17,33
28419338,17,17,33
28397053,17,17,33
28388222,17,17,33
69987.05949335871,0.1840015523105527,0.1312862240973312,0
27990215,16,16,33
28451686,17,17,33
