CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
45438,25,22,47
45409,26,25,51
45453,28,23,50
46042,28,21,49
45298,25,27,52
45271,26,23,49
45555,28,23,51
45500,30,23,53
45524,29,23,52
45118,26,27,53
45197,27,25,52
45498,25,25,50
45262,25,24,50
44924,26,24,50
45024,25,22,47
45032,27,23,50
45388,25,23,47
44808,27,25,52
45007,25,23,48
45012,26,23,49
45218,29,22,51
45248,29,24,54
44973,25,25,51
45137,26,23,50
45050,27,24,51
45181,26,21,48
45337,28,23,51
44984,28,22,50
44843,26,23,49
45042,25,22,48
44981,27,24,52
45218,25,26,51
45414,26,24,50
45194,24,26,50
45498,28,25,53
45370,25,25,50
45389,26,26,52
45195,25,26,51
45389,27,22,49
45093,24,24,48
45485,24,22,46
45402,25,23,48
45481,27,25,52
45187,27,24,51
45588,28,23,51
45652,26,25,52
45076,24,26,49
45353,25,26,51
45245,27,28,55
45081,26,23,49
45112,26,23,49
45290,26,21,47
45168,26,23,50
45248,27,25,52
45411,27,25,52
45460,24,25,49
45355,25,25,51
45265,26,24,50
222.5823262677407,1.4144311839120267,1.5814794511911487,1.859318077121652
44808,24,21,46
46042,30,28,55
