CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
99297,7,6,14
98965,6,7,13
102922,8,6,14
94105,6,8,14
95224,9,6,14
95994,8,5,13
99798,4,6,10
100089,6,6,11
91461,6,7,13
97274,7,6,13
99234,6,8,14
105332,6,5,11
97013,6,9,15
92751,4,7,11
96177,6,7,13
94907,7,7,13
95647,6,5,11
96537,6,5,11
94232,5,8,12
98408,7,7,14
107422,7,5,12
101770,7,7,15
90188,6,5,11
88958,6,6,12
95242,5,7,12
90668,8,4,13
95402,6,5,11
93457,4,5,9
90320,5,7,12
98985,5,8,14
96061,8,6,14
92563,5,6,12
98945,7,7,14
101277,7,6,13
102647,7,7,14
91897,7,5,12
98290,6,7,13
95290,7,5,12
97309,6,8,14
99683,7,6,13
90328,6,5,12
95172,6,8,14
92060,5,7,12
96414,5,5,11
96488,6,7,14
103831,7,7,15
95778,6,6,13
98618,5,7,12
93503,6,6,12
100161,6,5,11
99804,6,6,12
97807,7,6,13
95663,3,6,9
89841,6,7,14
96432,7,7,14
101385,7,7,14
97828,7,7,13
96717,6,6,13
3971.233510814315,1.09925966300495,1.0511685739610694,1.3953711456244335
88958,3,4,9
107422,9,9,15
