CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
115021,12,18,30
114617,14,20,34
113557,13,18,32
115118,14,17,31
114110,13,18,32
114358,11,17,28
113316,14,18,32
114137,14,20,34
114111,13,18,31
114152,13,19,32
114125,13,17,30
113312,14,17,31
115539,14,21,34
114200,12,18,30
115055,14,19,33
115996,14,19,33
115085,13,17,30
114736,12,19,32
115158,13,20,33
113881,12,17,29
114164,12,18,31
114450,13,19,32
114245,13,18,31
114400,12,19,31
114636,13,19,33
114132,14,19,33
114817,11,20,31
114936,12,18,30
115030,13,19,32
114394,13,18,31
114612,13,18,31
114882,12,18,30
114439,14,18,32
113509,11,19,30
114615,14,21,34
114833,13,17,29
115266,9,18,27
114475,11,18,29
115457,15,18,33
114483,14,18,32
114070,12,19,31
112023,13,18,32
113555,12,19,31
114293,12,18,30
114434,11,18,29
113748,12,17,29
114180,13,18,31
114506,11,18,29
115829,12,18,30
115401,11,19,30
112735,13,18,31
113253,13,19,33
114805,12,18,30
113652,13,18,31
114156,11,19,29
115379,11,18,29
115677,11,18,28
114440,13,18,31
746.5976397654182,1.1539006071863402,0.9296590385608258,1.6275180552012807
112023,9,17,27
115996,15,21,34
