CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
130920,11,16,26
131851,10,17,27
131498,11,17,28
127103,9,17,26
128080,11,17,28
127274,9,17,25
130672,9,17,25
128780,11,17,27
127657,13,17,29
130187,10,17,26
128519,9,17,26
128316,11,17,27
128076,10,17,27
129603,10,17,27
128553,11,17,27
128750,12,17,28
128586,10,17,27
130083,12,17,29
127926,11,17,27
129636,12,17,28
128997,12,17,28
129500,11,17,27
129657,12,17,28
129271,11,17,27
128247,8,17,25
130727,10,17,27
131097,8,17,25
129285,9,17,25
129944,9,17,26
128485,10,17,27
130914,10,17,27
131530,9,17,26
132911,10,17,27
131277,10,17,27
132705,8,17,25
132988,11,17,27
130904,9,17,26
130390,11,17,27
132821,9,17,26
129589,11,17,28
128273,11,17,28
129122,11,17,27
129364,12,17,28
128941,10,17,26
131415,12,17,29
131962,10,17,27
134687,11,17,27
134450,10,17,27
132858,11,17,28
127940,11,17,28
128635,10,17,27
130453,11,17,27
132238,9,17,26
130739,12,17,29
133734,9,17,26
134468,11,17,28
130840,11,17,27
130236,10,17,27
1896.4556132137973,1.1509627696039806,0.1312862240973312,1.0499967022768415
127103,8,16,25
134687,13,17,29
