CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
36768,17,6,23
37372,18,6,24
37860,17,4,21
37893,17,5,22
37023,17,5,22
37723,17,6,24
37942,17,5,22
38195,18,4,22
38128,18,5,23
38205,18,6,24
38161,17,5,22
38205,17,4,21
38249,17,7,24
37845,18,3,21
37682,17,4,21
36506,17,4,21
35569,18,4,22
36214,18,5,23
37951,17,7,24
37353,19,7,26
37286,18,6,24
37592,17,6,23
37636,17,4,21
37583,18,6,24
37602,18,5,23
37724,18,6,24
37680,17,4,21
37822,17,6,23
37768,17,6,23
36049,17,6,23
36848,17,5,23
37379,17,4,21
37675,18,5,23
37329,19,7,26
37068,18,5,23
37461,18,6,24
37841,17,5,22
37868,17,5,23
37452,17,6,23
37933,18,6,24
38136,17,6,24
38118,18,4,23
38205,18,6,24
38245,17,5,22
38209,18,5,23
37855,18,6,23
37461,17,4,21
37986,17,5,23
37986,17,6,23
37986,17,4,21
38161,18,5,23
38293,17,4,21
38062,18,6,24
37692,17,5,22
37855,18,5,23
38029,17,6,23
38118,18,5,24
37664,17,5,23
567.5877994867338,0.5652281997749825,0.9369143805486795,1.2058133528027781
35569,17,3,21
38293,19,7,26
