CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
145606,9,16,25
145399,6,17,23
144977,11,17,28
146591,8,17,25
147032,7,17,24
144610,8,17,25
144905,9,17,26
204459,8,17,24
145041,9,17,26
145139,7,17,24
194881,9,17,26
145424,9,17,26
145454,8,17,25
166885,9,17,26
146500,8,16,25
146342,9,17,25
146374,8,17,25
146913,9,17,26
147022,11,17,27
148239,8,17,25
145309,8,17,24
144725,7,17,24
146894,8,17,25
146321,7,17,24
145799,10,17,26
145763,8,17,25
145161,8,17,25
145539,10,17,26
145329,10,17,26
145460,10,17,26
146534,8,17,25
146045,9,17,26
146651,9,17,25
146899,8,17,25
145836,9,17,26
144547,9,17,26
145743,7,17,24
146781,7,17,24
146500,9,17,26
145595,8,17,24
145451,9,17,25
144943,8,17,25
145375,8,17,25
145272,8,17,24
145121,12,17,28
144947,8,17,24
145444,8,17,25
146187,7,17,24
145633,9,17,25
146311,10,17,27
145317,7,17,24
145858,9,17,26
146040,8,17,25
145966,10,17,26
146002,6,17,23
145945,10,17,27
146381,9,17,25
148095,9,17,25
10279.89516972441,1.1865149767656784,0.18400155231055276,1.0668628628428616
144547,6,16,23
204459,12,17,28
