CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
54277,4,6,11
51588,5,7,12
55755,6,5,10
58371,4,7,11
59056,7,7,14
55141,6,5,11
61298,5,5,10
59769,5,8,13
54608,6,5,12
56465,7,5,12
56150,4,6,10
56589,4,7,12
55061,4,5,10
53300,3,7,10
55302,5,5,10
54935,4,5,9
55186,6,6,12
59071,6,5,11
53529,5,6,11
54651,6,5,11
56862,6,6,12
54389,6,5,11
50750,4,4,8
51728,5,4,9
62035,5,7,12
57505,5,7,12
49939,6,6,12
61149,6,4,10
53288,5,7,12
59416,7,7,14
61138,5,6,11
59193,6,7,13
59137,6,7,14
57977,6,6,12
55205,6,6,12
58154,5,6,11
53102,5,8,12
55035,5,9,14
56000,6,8,14
56467,4,5,9
55182,5,8,13
55938,5,6,11
58661,6,6,12
55463,5,6,11
55595,6,6,13
54356,6,7,13
55606,6,6,11
56359,5,5,11
57891,5,8,12
58020,5,7,12
54373,5,8,13
59531,5,6,11
56947,7,5,13
58507,4,8,12
56741,5,6,11
60970,4,7,11
55783,5,7,13
56395,5,6,12
2661.0963420099824,0.8890427690750824,1.1506953215302866,1.3509911093458562
49939,3,4,8
62035,7,9,14
