CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
25323443,17,17,33
25433475,16,16,33
25442919,17,17,33
25486286,17,17,33
25467727,17,17,33
25473876,17,17,33
25453812,17,17,33
25462886,17,17,33
25433916,17,17,33
25451887,17,17,33
25464486,17,17,33
25456527,17,17,33
25423528,17,17,33
25450539,17,17,33
25457003,17,17,33
25432986,17,17,33
25435885,17,17,33
25435107,17,17,33
25452716,17,17,33
25439649,17,17,33
25449684,17,17,33
25471891,17,17,33
25453120,17,17,33
25450890,17,17,33
25455514,17,17,33
25499226,17,17,33
25438462,17,17,33
25431622,17,17,33
25440454,17,17,33
25167143,17,17,33
25395564,16,16,33
25442675,17,17,33
25445577,17,17,33
25452001,17,17,33
25484536,17,17,33
25460423,17,17,33
25455136,17,17,33
25452848,17,17,33
25480292,17,17,33
25467387,17,17,33
25449893,17,17,33
25451762,17,17,33
25475094,17,17,33
25463708,17,17,33
25460982,17,17,33
25457163,17,17,33
25518131,17,17,33
25465934,17,17,33
25466319,17,17,33
25475212,17,17,33
25438763,17,17,33
25444955,17,17,33
25458555,17,17,33
25446362,17,17,33
25442338,17,17,33
25449025,17,17,33
25459915,17,17,33
25447319,17,17,33
45247.461471130184,0.18400155231055285,0.18400155231055285,0
25167143,16,16,33
25518131,17,17,33
