CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
87374,29,28,57
87260,34,38,72
87737,34,37,71
87037,37,37,74
87326,34,37,71
87914,37,33,70
88016,33,38,71
86364,33,38,71
87206,34,37,71
87568,32,36,68
87053,38,34,72
86438,34,36,71
87440,35,33,68
87426,32,38,70
88065,34,34,68
88391,35,37,72
88761,35,37,73
87862,36,37,73
87450,34,38,72
87267,35,39,74
87065,33,33,66
86616,36,36,71
88243,35,33,68
88009,34,39,73
87913,36,35,72
87539,34,38,72
87848,35,38,74
88505,35,37,72
87542,35,38,73
89159,32,35,67
87824,37,37,74
87089,33,34,67
88061,36,34,70
87254,36,37,73
88167,34,36,69
87527,34,36,70
87373,34,39,73
88959,33,38,71
87109,35,35,70
88000,33,39,73
87059,35,35,69
88707,37,35,71
87226,37,36,73
88150,33,35,67
86458,33,37,71
87815,36,35,71
87245,37,32,69
87727,36,35,71
87738,35,37,72
86753,32,36,68
87363,33,37,69
86590,31,37,68
87788,34,34,69
88719,35,35,70
87850,36,35,71
88484,37,35,71
87539,35,36,71
87631,35,36,70
628.2462220194298,1.7180446557677318,2.0217347776684833,2.682776821560039
86364,29,28,57
89159,38,39,74
