CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
97618,4,8,12
94166,6,6,13
102941,4,7,11
107348,7,7,14
97630,6,7,13
99892,5,7,12
99053,6,6,13
103950,7,5,12
99995,6,6,13
95020,8,5,13
95213,6,8,14
100442,6,6,12
102933,6,4,9
99468,6,8,14
95453,6,6,12
92056,5,6,12
99468,5,6,11
93517,5,7,12
94995,6,6,12
97652,6,5,11
97690,4,6,11
95662,6,6,12
99089,7,4,12
95517,7,6,14
101946,6,6,12
99424,7,6,13
96520,5,6,12
94957,6,5,11
102171,7,6,13
101503,6,7,13
91558,6,6,13
97491,5,5,10
102759,7,6,13
103245,6,9,14
96159,4,6,10
99586,6,6,12
95867,5,7,12
100578,5,7,13
97621,6,7,13
90623,6,5,12
97887,5,6,12
96414,6,8,14
107065,8,5,13
104951,7,5,12
103888,6,6,12
101195,6,7,13
97372,6,8,13
98315,5,7,12
95382,6,8,13
99153,5,6,11
97963,6,8,14
93380,7,5,12
96710,8,5,13
96338,6,6,12
106399,7,6,13
97518,6,5,11
102078,7,6,13
98610,6,6,12
3762.486002914813,0.9359283276034487,1.059916313473208,1.0651304727481083
90623,4,4,9
107348,8,9,14
