CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
108889,13,17,31
109079,14,19,32
110262,14,19,33
110315,13,17,30
110471,13,17,30
109791,13,17,30
110081,12,18,30
110267,12,18,29
108676,13,17,31
108472,12,18,29
109016,13,19,32
110082,14,18,32
110363,13,18,31
110889,12,18,29
111411,14,17,31
111276,10,20,31
110576,12,18,31
109868,13,18,31
108774,13,18,32
110355,13,18,31
110279,11,18,29
110478,13,19,32
111142,14,18,33
110639,13,20,33
109980,13,19,33
109940,15,19,34
109897,12,18,30
109212,13,20,33
109627,13,18,31
109629,13,18,31
110042,13,17,30
108728,14,19,33
109137,13,18,32
109630,15,18,33
109996,13,18,31
111134,15,17,32
110601,13,17,31
110153,14,18,32
110151,12,19,31
110175,12,19,30
111776,12,18,31
111570,11,19,31
110158,13,19,32
111167,13,18,31
111882,12,19,31
111704,15,20,35
110894,14,18,32
109796,14,18,32
111617,11,18,30
109580,12,18,31
109709,14,18,32
110161,12,18,30
108567,13,20,33
110179,13,17,30
110997,12,18,30
110709,12,18,30
112919,13,18,31
110226,13,18,31
915.0244418306157,1.0307670751977809,0.8321783316232574,1.277694137265482
108472,10,17,29
112919,15,20,35
