CallCount,ClientCpuUsage,ServerCpuUsage,TotalCpuUsage
63487,15,16,31
63628,16,17,33
61244,16,17,33
60816,15,17,32
61123,14,17,31
62672,15,17,32
63198,15,17,32
63804,14,17,30
61715,13,17,30
63256,16,17,33
65650,15,17,32
64988,16,17,33
65478,14,17,31
60987,15,17,32
62842,15,17,31
65035,15,17,32
64374,16,17,33
61443,16,17,33
62857,15,17,32
65201,14,17,31
64491,14,17,31
62723,15,17,32
61577,15,17,32
64141,15,17,32
64499,16,17,33
64287,14,17,30
62438,17,17,33
61293,15,17,32
61193,15,17,32
60903,16,17,32
61791,15,17,32
65067,15,17,32
64779,16,17,33
64960,16,17,32
64926,16,17,33
64936,15,17,31
64060,15,17,32
63008,13,17,29
64457,15,17,32
64412,15,17,32
64118,16,17,33
63997,14,17,30
64526,15,17,32
64567,15,17,32
65439,16,17,33
64262,16,17,33
64264,16,17,33
63996,15,17,32
64088,15,17,32
64158,16,17,32
63221,15,17,32
64307,14,17,30
64144,17,17,33
64383,15,17,32
64379,13,17,30
63931,12,17,29
66015,15,17,32
63641,15,17,32
1376.4557514959963,0.9628366830885785,0.1312862240973312,1.045001586795469
60816,12,16,29
66015,17,17,33
